Tilgangskode,Beskrivelse,Startdato,Sluttdato,
A,Ansettelser,03.10.2007,,
AS,Ansettelsessak - utgått,06.07.2004,,31.12.2008
B,Begrenset etter sikkerhetsloven,,,
BA,Barnehagesaker,06.04.2004,,
E,Elevsaker,06.04.2004,,
F,Fortrolig etter beskyttelsesinstruksen,,,
H,Hemmelig etter sikkerhetsloven,,,
K,Konfidensielt etter sikkerhetsloven,,,
KB,Låne-/tilskuddsordning Husbanken,15.04.2004,,
KL,Klientsaker,16.04.2004,,
MU,Offentlig møteinnkalling og protokoll,06.04.2004,,
O,Offentlig,29.09.2017,,
P,Personalsaker,01.04.2004,,
S,Skattesaker,06.04.2004,,
SF,Strengt fortrolig etter beskyttelsesinstruksen,,,
U,Unntatt offentlighet i hht offentleglova,06.04.2004,,
X,SvarInn,24.04.2015,,
XX,Midlertidig sperret,,,
