Enhetskode,Enhet,Opprettet,Nedlagt
HELSO,Helse og omsorg,24.01.2012,
OPPLÆR,Oppvekst og læring,24.01.2012,
PLANS,Plan og samfunn,24.01.2012,
NAV,Nav Jevnaker,04.11.2008,
POL,Politisk sekretariat,27.09.2007,
RÅD,Rådmannen,27.09.2007,
SADM,Sentraladministrasjonen,10.07.2018,
UTVSTAB,Utviklingsstab,22.06.2018,
OKS ,Økonomi og service,,24.01.2012
VOK,Voksenopplæringa,,31.12.2011
TOS,Toso skole,,24.01.2012
TEDR,Teknisk drift,,24.01.2012
SST,Sentral stab,,10.07.2018
SABH,Samsmoen barnehage,,24.01.2012
PLO,Pleie og omsorg,,24.01.2012
NEBH,Nesbakken barnehage,,24.01.2012
KUV,Kultur og utvikling,,24.01.2012
JESK,Jevnaker skole,,24.01.2012
HOBH,Hovsenga barnehage,,24.01.2012
,Bergerbakken skole,,24.01.2012
,Bergerbakken barnehage,,24.01.2012
